Chr	Start	End	Colorval
Renan	1	1000000	white
Renan	1000001	2000000	white
Renan	2000001	3000000	black
Renan	3000001	4000000	white
Renan	4000001	5000000	white
Renan	5000001	6040000	white
Renan	6040001	7040000	white
Renan	7040001	8040000	white
Renan	8040001	9040000	white
Renan	9040001	10040000	white
Renan	10040001	11040000	white
Renan	11040001	12040000	white
Renan	12040001	13040000	white
Renan	13040001	14060000	white
Renan	14060001	15080000	white
Renan	15080001	16080000	white
Renan	16080001	17080000	white
Renan	17080001	18300000	black
Renan	18300001	19540000	white
Renan	19540001	20540000	white
Renan	20540001	21540000	white
Renan	21540001	22540000	white
Renan	22540001	23580000	white
Renan	23580001	24580000	white
Renan	24580001	25580000	white
Renan	25580001	26580000	black
Renan	26580001	27580000	white
Renan	27580001	28580000	white
Renan	28580001	29600000	white
Renan	29600001	30720000	white
Renan	30720001	31720000	white
Renan	31720001	32780000	white
Renan	32780001	33780000	white
Renan	33780001	34780000	white
Renan	34780001	35780000	white
Renan	35780001	36900000	black
Renan	36900001	37900000	white
Renan	37900001	38900000	gray
Renan	38900001	39900000	gray
Renan	39900001	40900000	gray
Renan	40900001	41900000	black
Renan	41900001	42900000	black
Renan	42900001	43900000	gray
Renan	43900001	44900000	white
Renan	44900001	45900000	gray
Renan	45900001	46920000	gray
Renan	46920001	47920000	gray
Renan	47920001	48920000	gray
Renan	48920001	49920000	black
Renan	49920001	50920000	gray
Renan	50920001	51920000	white
Renan	51920001	52920000	white
Renan	52920001	53940000	white
Renan	53940001	54940000	white
Renan	54940001	55940000	white
Renan	55940001	57020000	white
Renan	57020001	58120000	gray
Renan	58120001	59240000	white
Renan	59240001	60260000	white
Renan	60260001	61260000	gray
Renan	61260001	62260000	gray
Renan	62260001	63340000	white
Renan	63340001	64400000	white
Renan	64400001	65400000	white
Renan	65400001	66440000	white
Renan	66440001	67460000	white
Renan	67460001	68500000	white
Renan	68500001	69500000	white
Renan	69500001	70500000	white
Renan	70500001	71500000	white
Renan	71500001	72500000	white
Renan	72500001	73500000	white
Renan	73500001	74500000	white
Renan	74500001	75500000	white
Renan	75500001	76540000	white
