# BUSCO version is: 5.0.0 
# The lineage dataset is: poales_odb10 (Creation date: 2020-08-05, number of species: 12, number of BUSCOs: 4896)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
0at38820	Duplicated	chr2A	761466237	761486275	+	8035.2	4065	https://www.orthodb.org/v10?query=0at38820	sacsin
0at38820	Duplicated	chr2B	779456509	779475613	-	8119.5	4107	https://www.orthodb.org/v10?query=0at38820	sacsin
0at38820	Duplicated	chr2D	654613024	654632040	+	8166.8	4112	https://www.orthodb.org/v10?query=0at38820	sacsin
2at38820	Duplicated	chr5D	276817532	276841527	-	8154.7	4132	https://www.orthodb.org/v10?query=2at38820	auxin transport protein BIG
2at38820	Duplicated	chr5A	357683591	357709778	-	8222.8	4156	https://www.orthodb.org/v10?query=2at38820	auxin transport protein BIG
2at38820	Duplicated	chr7B	578845384	578870084	-	8279.6	4154	https://www.orthodb.org/v10?query=2at38820	auxin transport protein BIG
5at38820	Duplicated	chr1A	256012813	256047612	-	7863.5	4570	https://www.orthodb.org/v10?query=5at38820	Midasin
5at38820	Duplicated	chr1D	191904495	191936305	-	7865.1	4651	https://www.orthodb.org/v10?query=5at38820	Midasin
5at38820	Duplicated	chr1B	283487796	283525590	-	7871.1	4618	https://www.orthodb.org/v10?query=5at38820	Midasin
8at38820	Duplicated	chr2B	145816163	145838523	+	6745.0	3314	https://www.orthodb.org/v10?query=8at38820	transcription-associated protein 1
8at38820	Duplicated	chr2A	87552654	87575188	+	6975.2	3365	https://www.orthodb.org/v10?query=8at38820	transcription-associated protein 1
10at38820	Duplicated	chr4D	43638536	43657909	+	6008.5	3160	https://www.orthodb.org/v10?query=10at38820	serine/threonine-protein kinase SMG1
10at38820	Duplicated	chr4A	556021999	556037160	-	6056.1	3169	https://www.orthodb.org/v10?query=10at38820	serine/threonine-protein kinase SMG1
10at38820	Duplicated	chr4B	63219226	63234763	+	6056.8	3160	https://www.orthodb.org/v10?query=10at38820	serine/threonine-protein kinase SMG1
12at38820	Duplicated	chr5D	468644498	468662448	+	5852.0	2807	https://www.orthodb.org/v10?query=12at38820	protein SPIRRIG
12at38820	Duplicated	chr5A	579978697	579996173	-	6318.2	3040	https://www.orthodb.org/v10?query=12at38820	protein SPIRRIG
12at38820	Duplicated	chr7B	835086226	835129399	-	6372.3	3056	https://www.orthodb.org/v10?query=12at38820	protein SPIRRIG
20at38820	Duplicated	chr7D	398822215	398848563	+	5002.7	2846	https://www.orthodb.org/v10?query=20at38820	uncharacterized protein LOC8066100
20at38820	Duplicated	chr7A	466094332	466118004	-	5166.4	2921	https://www.orthodb.org/v10?query=20at38820	uncharacterized protein LOC8066100
20at38820	Duplicated	chr7B	349578317	349605588	-	5167.8	2889	https://www.orthodb.org/v10?query=20at38820	uncharacterized protein LOC8066100
22at38820	Duplicated	chr3B	131429297	131448433	-	4126.1	2395	https://www.orthodb.org/v10?query=22at38820	uncharacterized protein LOC109776782
22at38820	Duplicated	chr3A	79511222	79532624	-	4397.5	2496	https://www.orthodb.org/v10?query=22at38820	uncharacterized protein LOC109776782
22at38820	Duplicated	chr3D	75607550	75626683	-	4434.9	2489	https://www.orthodb.org/v10?query=22at38820	uncharacterized protein LOC109776782
23at38820	Duplicated	chr1A	528856027	528887508	+	3887.5	2335	https://www.orthodb.org/v10?query=23at38820	serine/threonine-protein kinase ATM isoform X1
23at38820	Duplicated	chr1D	417251928	417278838	-	4115.9	2534	https://www.orthodb.org/v10?query=23at38820	serine/threonine-protein kinase ATM isoform X1
23at38820	Duplicated	chr1B	578529122	578561879	-	4200.4	2567	https://www.orthodb.org/v10?query=23at38820	serine/threonine-protein kinase ATM isoform X1
28at38820	Duplicated	chr7B	33060749	33071988	+	4518.1	2300	https://www.orthodb.org/v10?query=28at38820	Serine/threonine-protein kinase ATR
28at38820	Duplicated	chr7A	737521231	737532356	-	4580.7	2304	https://www.orthodb.org/v10?query=28at38820	Serine/threonine-protein kinase ATR
28at38820	Duplicated	chr7D	626720310	626731615	-	4584.8	2303	https://www.orthodb.org/v10?query=28at38820	Serine/threonine-protein kinase ATR
30at38820	Duplicated	chr4B	41964027	41985655	+	4197.0	2218	https://www.orthodb.org/v10?query=30at38820	Translational activator GCN1
30at38820	Duplicated	chr4D	29431960	29454105	+	4214.7	2216	https://www.orthodb.org/v10?query=30at38820	Translational activator GCN1
