Organism,Chromosome,Size,Gaps.number,Chr.group
Renan,1A,593930347,467,A
Renan,2A,792837209,548,A
Renan,3A,750337041,508,A
Renan,4A,749950614,544,A
Renan,5A,712547961,527,A
Renan,6A,620176429,435,A
Renan,7A,746502734,539,A
Renan,1B,702775664,559,B
Renan,2B,812232696,655,B
Renan,3B,854463248,686,B
Renan,4B,673746810,531,B
Renan,5B,703299309,600,B
Renan,6B,717542863,638,B
Renan,7B,752612656,653,B
Renan,1D,494594617,575,D
Renan,2D,661835603,787,D
Renan,3D,623248023,764,D
Renan,4D,520815567,600,D
Renan,5D,569771178,645,D
Renan,6D,493761083,570,D
Renan,7D,648661963,756,D
ArinaLrFor,1A,602900890,12700,A
ArinaLrFor,2A,784661008,17031,A
ArinaLrFor,3A,752710991,16315,A
ArinaLrFor,4A,743084022,16374,A
ArinaLrFor,5A,710124532,15408,A
ArinaLrFor,6A,620140791,13031,A
ArinaLrFor,7A,756324664,19495,A
ArinaLrFor,1B,697493198,17082,B
ArinaLrFor,2B,810500911,19944,B
ArinaLrFor,3B,890847171,32955,B
ArinaLrFor,4B,676741658,15869,B
ArinaLrFor,5B,480767623,11541,B
ArinaLrFor,6B,716573881,17188,B
ArinaLrFor,7B,977471539,26045,B
ArinaLrFor,1D,490518203,12326,D
ArinaLrFor,2D,655314739,15498,D
ArinaLrFor,3D,621781073,16405,D
ArinaLrFor,4D,509452426,11002,D
ArinaLrFor,5D,578021311,15399,D
ArinaLrFor,6D,476726550,12143,D
ArinaLrFor,7D,642207261,17995,D
Landmark,1A,595339094,21200,A
Landmark,2A,791748890,27941,A
Landmark,3A,753360318,26977,A
Landmark,4A,752772853,27505,A
Landmark,5A,712797596,25941,A
Landmark,6A,619886155,22018,A
Landmark,7A,740148362,29059,A
Landmark,1B,698605642,27209,B
Landmark,2B,797311483,31330,B
Landmark,3B,845838138,33700,B
Landmark,4B,689709469,24013,B
Landmark,5B,710493282,28090,B
Landmark,6B,705533140,27062,B
Landmark,7B,757233630,31426,B
Landmark,1D,499102108,20690,D
Landmark,2D,656817438,26071,D
Landmark,3D,619661694,25258,D
Landmark,4D,509595892,17791,D
Landmark,5D,570643040,23565,D
Landmark,6D,484551304,19412,D
Landmark,7D,642499559,28471,D
Stanley,1A,591313643,18223,A
Stanley,2A,803232604,25784,A
Stanley,3A,759305888,24367,A
Stanley,4A,754364263,24361,A
Stanley,5A,715354979,22674,A
Stanley,6A,626959190,19061,A
Stanley,7A,742917797,26067,A
Stanley,1B,705330581,25048,B
Stanley,2B,790745243,26293,B
Stanley,3B,856542542,31380,B
Stanley,4B,697113365,21860,B
Stanley,5B,713929667,25038,B
Stanley,6B,715714221,24661,B
Stanley,7B,748536659,27970,B
Stanley,1D,495656580,18370,D
Stanley,2D,657494025,23569,D
Stanley,3D,628321883,24033,D
Stanley,4D,504254270,15778,D
Stanley,5D,572943128,21263,D
Stanley,6D,483823121,17838,D
Stanley,7D,643784981,25875,D
ChineseSpring,1A,598660471,6704,A
ChineseSpring,2A,787782082,9030,A
ChineseSpring,3A,754128162,8454,A
ChineseSpring,4A,754227511,9053,A
ChineseSpring,5A,713360525,7335,A
ChineseSpring,6A,622669697,6599,A
ChineseSpring,7A,744491536,8616,A
ChineseSpring,1B,700547350,8729,B
ChineseSpring,2B,812755788,10027,B
ChineseSpring,3B,851934019,10902,B
ChineseSpring,4B,673810255,8934,B
ChineseSpring,5B,714805278,9139,B
ChineseSpring,6B,731188232,9683,B
ChineseSpring,7B,764081788,10715,B
ChineseSpring,1D,498638509,7840,D
ChineseSpring,2D,656544405,9300,D
ChineseSpring,3D,619618552,9337,D
ChineseSpring,4D,518332611,7335,D
ChineseSpring,5D,569951140,8586,D
ChineseSpring,6D,495380293,7250,D
