# BUSCO version is: 5.0.0 
# The lineage dataset is: poales_odb10 (Creation date: 2020-08-05, number of species: 12, number of BUSCOs: 4896)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
0at38820	Duplicated	chr2A	765863950	765882979	+	8093.3	4103	https://www.orthodb.org/v10?query=0at38820	sacsin
0at38820	Duplicated	chr2D	642450213	642469239	-	8162.3	4112	https://www.orthodb.org/v10?query=0at38820	sacsin
0at38820	Duplicated	chr2B	778941829	778960862	-	8168.3	4103	https://www.orthodb.org/v10?query=0at38820	sacsin
2at38820	Duplicated	chr5D	269854528	269878529	-	8154.7	4132	https://www.orthodb.org/v10?query=2at38820	auxin transport protein BIG
2at38820	Duplicated	chr5A	357080622	357106730	-	8288.5	4153	https://www.orthodb.org/v10?query=2at38820	auxin transport protein BIG
2at38820	Duplicated	chr5B	314510530	314534790	-	8291.0	4153	https://www.orthodb.org/v10?query=2at38820	auxin transport protein BIG
5at38820	Duplicated	chr1B	283434929	283472697	-	7766.3	4623	https://www.orthodb.org/v10?query=5at38820	Midasin
5at38820	Duplicated	chr1A	246033565	246068309	-	7809.4	4580	https://www.orthodb.org/v10?query=5at38820	Midasin
5at38820	Duplicated	chr1D	194471401	194503168	-	7834.7	4653	https://www.orthodb.org/v10?query=5at38820	Midasin
8at38820	Duplicated	chr2B	148209464	148231806	+	6831.4	3321	https://www.orthodb.org/v10?query=8at38820	transcription-associated protein 1
8at38820	Duplicated	chr2A	94802444	94824931	+	6954.1	3367	https://www.orthodb.org/v10?query=8at38820	transcription-associated protein 1
8at38820	Duplicated	chr2D	98987971	99010211	+	7011.3	3366	https://www.orthodb.org/v10?query=8at38820	transcription-associated protein 1
10at38820	Duplicated	chr4B	63938147	63953113	+	5995.7	3166	https://www.orthodb.org/v10?query=10at38820	serine/threonine-protein kinase SMG1
10at38820	Duplicated	chr4A	554477055	554492525	-	5996.9	3161	https://www.orthodb.org/v10?query=10at38820	serine/threonine-protein kinase SMG1
10at38820	Duplicated	chr4D	43975809	43995236	+	5997.9	3162	https://www.orthodb.org/v10?query=10at38820	serine/threonine-protein kinase SMG1
12at38820	Duplicated	chr5D	463238963	463256920	+	5844.8	2806	https://www.orthodb.org/v10?query=12at38820	protein SPIRRIG
12at38820	Duplicated	chr5A	583919999	583937355	-	6319.9	3040	https://www.orthodb.org/v10?query=12at38820	protein SPIRRIG
12at38820	Duplicated	chr5B	562529853	562573012	-	6373.7	3056	https://www.orthodb.org/v10?query=12at38820	protein SPIRRIG
20at38820	Duplicated	chr7D	401753834	401780107	+	5004.5	2852	https://www.orthodb.org/v10?query=20at38820	uncharacterized protein LOC8066100
20at38820	Duplicated	chr7A	455205201	455228902	-	5152.5	2920	https://www.orthodb.org/v10?query=20at38820	uncharacterized protein LOC8066100
20at38820	Duplicated	chr7B	396506721	396533956	+	5168.3	2870	https://www.orthodb.org/v10?query=20at38820	uncharacterized protein LOC8066100
22at38820	Duplicated	chr3B	128646610	128665658	-	4126.9	2395	https://www.orthodb.org/v10?query=22at38820	uncharacterized protein LOC109776782
22at38820	Duplicated	chr3A	81548578	81569961	-	4260.5	2428	https://www.orthodb.org/v10?query=22at38820	uncharacterized protein LOC109776782
22at38820	Duplicated	chr3D	73927824	73946970	-	4434.7	2489	https://www.orthodb.org/v10?query=22at38820	uncharacterized protein LOC109776782
23at38820	Duplicated	chr1A	515082138	515113571	-	3805.6	2347	https://www.orthodb.org/v10?query=23at38820	serine/threonine-protein kinase ATM isoform X1
23at38820	Duplicated	chr1B	581288064	581320723	-	4085.7	2569	https://www.orthodb.org/v10?query=23at38820	serine/threonine-protein kinase ATM isoform X1
23at38820	Duplicated	chr1D	420603903	420630757	-	4300.5	2575	https://www.orthodb.org/v10?query=23at38820	serine/threonine-protein kinase ATM isoform X1
28at38820	Duplicated	chr7B	723965266	723976499	-	4512.3	2303	https://www.orthodb.org/v10?query=28at38820	Serine/threonine-protein kinase ATR
28at38820	Duplicated	chr7D	632817680	632828897	-	4573.7	2295	https://www.orthodb.org/v10?query=28at38820	Serine/threonine-protein kinase ATR
28at38820	Duplicated	chr7A	726233031	726244158	-	4575.2	2304	https://www.orthodb.org/v10?query=28at38820	Serine/threonine-protein kinase ATR
30at38820	Duplicated	chr4B	42318132	42339764	+	4168.6	2218	https://www.orthodb.org/v10?query=30at38820	Translational activator GCN1
30at38820	Duplicated	chr4D	29711279	29733413	+	4237.5	2219	https://www.orthodb.org/v10?query=30at38820	Translational activator GCN1
34at38820	Duplicated	chr1D	315729410	315756864	+	4448.1	2182	https://www.orthodb.org/v10?query=34at38820	Serine/threonine-protein kinase TOR
34at38820	Duplicated	chr1B	437609997	437639257	+	4645.5	2241	https://www.orthodb.org/v10?query=34at38820	Serine/threonine-protein kinase TOR
34at38820	Duplicated	chr1A	395602760	395632758	+	4646.2	2249	https://www.orthodb.org/v10?query=34at38820	Serine/threonine-protein kinase TOR
35at38820	Duplicated	chr3B	395383112	395401437	-	3965.8	2308	https://www.orthodb.org/v10?query=35at38820	small subunit processome component 20 homolog
35at38820	Duplicated	chr3D	290891258	290908417	+	3988.2	2316	https://www.orthodb.org/v10?query=35at38820	small subunit processome component 20 homolog
35at38820	Duplicated	chr3A	381884093	381901329	+	4033.5	2307	https://www.orthodb.org/v10?query=35at38820	small subunit processome component 20 homolog
36at38820	Duplicated	chr3B	292435720	292479161	+	4173.3	2152	https://www.orthodb.org/v10?query=36at38820	piezo-type mechanosensitive ion channel homolog isoform X1
36at38820	Duplicated	chr3A	259837003	259883745	+	4177.3	2153	https://www.orthodb.org/v10?query=36at38820	piezo-type mechanosensitive ion channel homolog isoform X1
36at38820	Duplicated	chr3D	199996583	200054611	+	4216.4	2137	https://www.orthodb.org/v10?query=36at38820	piezo-type mechanosensitive ion channel homolog isoform X1
37at38820	Duplicated	chr1D	275528084	275544134	-	4686.5	2208	https://www.orthodb.org/v10?query=37at38820	dnaJ homolog subfamily C GRV2
37at38820	Duplicated	chr1B	384210513	384226413	-	4689.4	2212	https://www.orthodb.org/v10?query=37at38820	dnaJ homolog subfamily C GRV2
37at38820	Duplicated	chr1A	348193256	348209242	-	4693.3	2208	https://www.orthodb.org/v10?query=37at38820	dnaJ homolog subfamily C GRV2
38at38820	Duplicated	chr4B	18544977	18562754	+	3865.8	2153	https://www.orthodb.org/v10?query=38at38820	protein SABRE isoform X1
38at38820	Duplicated	chr4D	9615427	9633258	+	3879.5	2177	https://www.orthodb.org/v10?query=38at38820	protein SABRE isoform X1
38at38820	Duplicated	chr4A	591228227	591246168	-	3961.4	2180	https://www.orthodb.org/v10?query=38at38820	protein SABRE isoform X1
40at38820	Duplicated	chr2A	669770251	669790713	+	4702.4	2425	https://www.orthodb.org/v10?query=40at38820	BEACH domain-containing protein lvsC
40at38820	Duplicated	chr2D	537610415	537630147	+	4744.1	2463	https://www.orthodb.org/v10?query=40at38820	BEACH domain-containing protein lvsC
40at38820	Duplicated	chr2B	622108961	622128637	+	4835.9	2458	https://www.orthodb.org/v10?query=40at38820	BEACH domain-containing protein lvsC
46at38820	Duplicated	chr4A	300001517	300039984	+	4061.6	2164	https://www.orthodb.org/v10?query=46at38820	Aberrant pollen transmission 1
46at38820	Duplicated	chr4D	247859835	247878107	-	4064.8	2190	https://www.orthodb.org/v10?query=46at38820	Aberrant pollen transmission 1
46at38820	Duplicated	chr4B	249018949	249041384	-	4164.4	2220	https://www.orthodb.org/v10?query=46at38820	Aberrant pollen transmission 1
48at38820	Duplicated	chr2B	509878016	509886728	-	3959.8	2029	https://www.orthodb.org/v10?query=48at38820	Allene oxide synthase-lipoxygenase protein
48at38820	Duplicated	chr2A	570912130	570920675	-	4180.8	2116	https://www.orthodb.org/v10?query=48at38820	Allene oxide synthase-lipoxygenase protein
48at38820	Duplicated	chr2D	441416201	441424846	-	4187.5	2136	https://www.orthodb.org/v10?query=48at38820	Allene oxide synthase-lipoxygenase protein
50at38820	Duplicated	chr3B	318835139	318856952	+	3306.3	2015	https://www.orthodb.org/v10?query=50at38820	WD40-repeat-containing domain
50at38820	Duplicated	chr3A	343192018	343215174	-	3374.4	2042	https://www.orthodb.org/v10?query=50at38820	WD40-repeat-containing domain
50at38820	Duplicated	chr3D	259167505	259188724	+	3377.4	2022	https://www.orthodb.org/v10?query=50at38820	WD40-repeat-containing domain
51at38820	Duplicated	chr1B	269964843	269988950	-	3798.5	1840	https://www.orthodb.org/v10?query=51at38820	DNA polymerase epsilon catalytic subunit
51at38820	Duplicated	chr1D	188460654	188484753	-	3809.4	1840	https://www.orthodb.org/v10?query=51at38820	DNA polymerase epsilon catalytic subunit
52at38820	Duplicated	chr6A	564473623	564479926	+	3262.7	1670	https://www.orthodb.org/v10?query=52at38820	MAG2-interacting protein 2 isoform X1
52at38820	Duplicated	chr5B	663800117	663810009	+	3678.5	2038	https://www.orthodb.org/v10?query=52at38820	MAG2-interacting protein 2 isoform X1
52at38820	Duplicated	chr6B	623986708	623996593	+	3684.6	2032	https://www.orthodb.org/v10?query=52at38820	MAG2-interacting protein 2 isoform X1
54at38820	Duplicated	chr5B	631441443	631456435	-	3906.3	2163	https://www.orthodb.org/v10?query=54at38820	Histidine kinase- DNA gyrase B- and HSP90-like ATPase family protein
