# BUSCO version is: 5.0.0 
# The lineage dataset is: poales_odb10 (Creation date: 2020-08-05, number of species: 12, number of BUSCOs: 4896)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
0at38820	Duplicated	Chr2A	763859906	763879965	+	8039.7	4061	https://www.orthodb.org/v10?query=0at38820	sacsin
0at38820	Duplicated	Chr2B	782292087	782311191	-	8120.2	4107	https://www.orthodb.org/v10?query=0at38820	sacsin
0at38820	Duplicated	Chr2D	633640157	633659173	-	8166.8	4112	https://www.orthodb.org/v10?query=0at38820	sacsin
2at38820	Duplicated	Chr5D	271659478	271683673	-	8154.7	4132	https://www.orthodb.org/v10?query=2at38820	auxin transport protein BIG
2at38820	Duplicated	Chr5A	356835834	356861950	-	8226.4	4156	https://www.orthodb.org/v10?query=2at38820	auxin transport protein BIG
2at38820	Duplicated	Chr5B	307694739	307719126	-	8276.3	4154	https://www.orthodb.org/v10?query=2at38820	auxin transport protein BIG
5at38820	Duplicated	Chr1A	249111545	249146317	-	7863.5	4570	https://www.orthodb.org/v10?query=5at38820	Midasin
5at38820	Duplicated	Chr1D	199537306	199569116	-	7865.1	4651	https://www.orthodb.org/v10?query=5at38820	Midasin
5at38820	Duplicated	Chr1B	283896520	283934316	-	7872.8	4618	https://www.orthodb.org/v10?query=5at38820	Midasin
8at38820	Duplicated	Chr2B	147633366	147655732	+	6740.2	3314	https://www.orthodb.org/v10?query=8at38820	transcription-associated protein 1
8at38820	Duplicated	Chr2A	92158428	92180735	+	6970.8	3365	https://www.orthodb.org/v10?query=8at38820	transcription-associated protein 1
8at38820	Duplicated	Chr2D	90170868	90193163	+	6974.5	3367	https://www.orthodb.org/v10?query=8at38820	transcription-associated protein 1
10at38820	Duplicated	Chr4B	66036315	66051322	+	5992.3	3154	https://www.orthodb.org/v10?query=10at38820	serine/threonine-protein kinase SMG1
10at38820	Duplicated	Chr4D	43839572	43859185	+	6007.2	3160	https://www.orthodb.org/v10?query=10at38820	serine/threonine-protein kinase SMG1
10at38820	Duplicated	Chr4A	555814568	555829729	-	6056.1	3169	https://www.orthodb.org/v10?query=10at38820	serine/threonine-protein kinase SMG1
12at38820	Duplicated	Chr5D	463976417	463994367	+	5852.0	2807	https://www.orthodb.org/v10?query=12at38820	protein SPIRRIG
12at38820	Duplicated	Chr5A	582986146	583003622	-	6318.2	3040	https://www.orthodb.org/v10?query=12at38820	protein SPIRRIG
12at38820	Duplicated	Chr5B	570163452	570206642	-	6372.3	3056	https://www.orthodb.org/v10?query=12at38820	protein SPIRRIG
20at38820	Duplicated	Chr7D	399556926	399583274	+	5002.7	2846	https://www.orthodb.org/v10?query=20at38820	uncharacterized protein LOC8066100
20at38820	Duplicated	Chr7B	406182251	406209851	+	5167.8	2889	https://www.orthodb.org/v10?query=20at38820	uncharacterized protein LOC8066100
22at38820	Duplicated	Chr3B	129295989	129314846	-	4134.3	2381	https://www.orthodb.org/v10?query=22at38820	uncharacterized protein LOC109776782
22at38820	Duplicated	Chr3A	84120824	84142226	-	4397.5	2496	https://www.orthodb.org/v10?query=22at38820	uncharacterized protein LOC109776782
22at38820	Duplicated	Chr3D	71584913	71604046	-	4434.9	2489	https://www.orthodb.org/v10?query=22at38820	uncharacterized protein LOC109776782
23at38820	Duplicated	Chr1D	424669593	424696451	-	4115.9	2534	https://www.orthodb.org/v10?query=23at38820	serine/threonine-protein kinase ATM isoform X1
23at38820	Duplicated	Chr1B	577994611	578022256	-	4214.6	2569	https://www.orthodb.org/v10?query=23at38820	serine/threonine-protein kinase ATM isoform X1
23at38820	Duplicated	Chr1A	519803316	519830012	-	4435.8	2592	https://www.orthodb.org/v10?query=23at38820	serine/threonine-protein kinase ATM isoform X1
28at38820	Duplicated	Chr7B	732065272	732076528	-	4518.8	2300	https://www.orthodb.org/v10?query=28at38820	Serine/threonine-protein kinase ATR
28at38820	Duplicated	Chr7A	726284108	726295236	-	4580.1	2304	https://www.orthodb.org/v10?query=28at38820	Serine/threonine-protein kinase ATR
28at38820	Duplicated	Chr7D	627137445	627148714	-	4584.8	2303	https://www.orthodb.org/v10?query=28at38820	Serine/threonine-protein kinase ATR
30at38820	Duplicated	Chr4B	44306585	44328214	+	4197.0	2218	https://www.orthodb.org/v10?query=30at38820	Translational activator GCN1
30at38820	Duplicated	Chr4D	29618554	29640699	+	4214.7	2216	https://www.orthodb.org/v10?query=30at38820	Translational activator GCN1
34at38820	Duplicated	Chr1D	319758178	319786424	+	4539.9	2201	https://www.orthodb.org/v10?query=34at38820	Serine/threonine-protein kinase TOR
34at38820	Duplicated	Chr1B	435451741	435480918	+	4614.4	2244	https://www.orthodb.org/v10?query=34at38820	Serine/threonine-protein kinase TOR
34at38820	Duplicated	Chr1A	400126914	400156128	+	4639.3	2248	https://www.orthodb.org/v10?query=34at38820	Serine/threonine-protein kinase TOR
35at38820	Duplicated	Chr3A	385555314	385572424	+	3950.8	2307	https://www.orthodb.org/v10?query=35at38820	small subunit processome component 20 homolog
35at38820	Duplicated	Chr3D	287172748	287189902	+	4006.3	2316	https://www.orthodb.org/v10?query=35at38820	small subunit processome component 20 homolog
35at38820	Duplicated	Chr3B	389029948	389048100	-	4077.2	2279	https://www.orthodb.org/v10?query=35at38820	small subunit processome component 20 homolog
36at38820	Duplicated	Chr3D	197515203	197573163	+	4175.6	2155	https://www.orthodb.org/v10?query=36at38820	piezo-type mechanosensitive ion channel homolog isoform X1
36at38820	Duplicated	Chr3A	263063491	263111071	+	4188.2	2156	https://www.orthodb.org/v10?query=36at38820	piezo-type mechanosensitive ion channel homolog isoform X1
36at38820	Duplicated	Chr3B	290824280	290868222	+	4215.1	2137	https://www.orthodb.org/v10?query=36at38820	piezo-type mechanosensitive ion channel homolog isoform X1
37at38820	Duplicated	Chr1B	382678999	382694859	-	4688.4	2208	https://www.orthodb.org/v10?query=37at38820	dnaJ homolog subfamily C GRV2
37at38820	Duplicated	Chr1D	280013484	280029572	-	4697.2	2210	https://www.orthodb.org/v10?query=37at38820	dnaJ homolog subfamily C GRV2
37at38820	Duplicated	Chr1A	351538009	351558150	-	4702.0	2213	https://www.orthodb.org/v10?query=37at38820	dnaJ homolog subfamily C GRV2
38at38820	Duplicated	Chr4B	20160851	20178685	+	4008.4	2153	https://www.orthodb.org/v10?query=38at38820	protein SABRE isoform X1
38at38820	Duplicated	Chr4D	9678083	9695967	+	4028.9	2174	https://www.orthodb.org/v10?query=38at38820	protein SABRE isoform X1
38at38820	Duplicated	Chr4A	592566658	592584422	-	4056.4	2160	https://www.orthodb.org/v10?query=38at38820	protein SABRE isoform X1
40at38820	Duplicated	Chr2D	525292289	525311949	+	4768.3	2463	https://www.orthodb.org/v10?query=40at38820	BEACH domain-containing protein lvsC
40at38820	Duplicated	Chr2A	672050747	672071253	+	4813.2	2459	https://www.orthodb.org/v10?query=40at38820	BEACH domain-containing protein lvsC
40at38820	Duplicated	Chr2B	624678718	624698845	+	4826.6	2454	https://www.orthodb.org/v10?query=40at38820	BEACH domain-containing protein lvsC
46at38820	Duplicated	Chr4A	256878549	256917015	+	4061.7	2164	https://www.orthodb.org/v10?query=46at38820	Aberrant pollen transmission 1
46at38820	Duplicated	Chr4B	344625677	344648127	+	4171.3	2268	https://www.orthodb.org/v10?query=46at38820	Aberrant pollen transmission 1
46at38820	Duplicated	Chr4D	245717141	245735415	-	4198.9	2234	https://www.orthodb.org/v10?query=46at38820	Aberrant pollen transmission 1
48at38820	Duplicated	Chr2D	429290881	429299525	-	3962.3	2030	https://www.orthodb.org/v10?query=48at38820	Allene oxide synthase-lipoxygenase protein
