Chr	Start	End	Colorval
Renan	1	1220000	black
Renan	1220001	2220000	white
Renan	2220001	3220000	white
Renan	3220001	4240000	white
Renan	4240001	5240000	white
Renan	5240001	6240000	white
Renan	6240001	7240000	white
Renan	7240001	8240000	blue
Renan	8240001	9240000	gray
Renan	9240001	10240000	white
Renan	10240001	11240000	white
Renan	11240001	12260000	white
Renan	12260001	13360000	black
Renan	13360001	14360000	white
Renan	14360001	15400000	white
Renan	15400001	16400000	white
Renan	16400001	17400000	white
Renan	17400001	18400000	gray
Renan	18400001	19640000	white
Renan	19640001	20640000	white
Renan	20640001	21640000	white
Renan	21640001	22640000	white
Renan	22640001	23640000	black
Renan	23640001	24640000	white
Renan	24640001	25640000	gray
Renan	25640001	26640000	gray
Renan	26640001	27640000	gray
Renan	27640001	28640000	gray
Renan	28640001	29640000	gray
Renan	29640001	30640000	gray
Renan	30640001	31640000	gray
Renan	31640001	32640000	gray
Renan	32640001	33680000	gray
Renan	33680001	34780000	gray
Renan	34780001	35780000	gray
Renan	35780001	36860000	gray
Renan	36860001	37860000	white
Renan	37860001	38860000	white
Renan	38860001	39860000	white
Renan	39860001	40860000	gray
Renan	40860001	41860000	gray
Renan	41860001	42880000	gray
Renan	42880001	43880000	gray
Renan	43880001	44880000	white
Renan	44880001	45880000	gray
Renan	45880001	46880000	gray
Renan	46880001	47880000	gray
Renan	47880001	48880000	gray
Renan	48880001	49880000	gray
Renan	49880001	50880000	gray
Renan	50880001	51880000	gray
Renan	51880001	52880000	gray
Renan	52880001	53880000	gray
Renan	53880001	54900000	gray
Renan	54900001	55940000	gray
Renan	55940001	56940000	gray
Renan	56940001	57940000	gray
Renan	57940001	58940000	gray
Renan	58940001	59940000	gray
Renan	59940001	60940000	gray
Renan	60940001	61940000	gray
Renan	61940001	63000000	gray
Renan	63000001	64000000	gray
Renan	64000001	65000000	gray
Renan	65000001	66140000	gray
Renan	66140001	67240000	gray
Renan	67240001	68240000	gray
Renan	68240001	69240000	gray
Renan	69240001	70260000	gray
Renan	70260001	71260000	gray
Renan	71260001	72340000	gray
