Chr	Start	End	Colorval
Renan	1	1000000	gray
Renan	1000001	2000000	black
Renan	2000001	3000000	white
Renan	3000001	4000000	gray
Renan	4000001	5000000	gray
Renan	5000001	6020000	gray
Renan	6020001	7080000	gray
Renan	7080001	8080000	gray
Renan	8080001	9080000	gray
Renan	9080001	10080000	gray
Renan	10080001	11080000	white
Renan	11080001	12080000	white
Renan	12080001	13080000	white
Renan	13080001	14180000	white
Renan	14180001	15200000	white
Renan	15200001	16220000	white
Renan	16220001	17220000	white
Renan	17220001	18240000	white
Renan	18240001	19240000	white
Renan	19240001	20240000	white
Renan	20240001	21240000	white
Renan	21240001	22240000	white
Renan	22240001	23240000	white
Renan	23240001	25260000	white
Renan	25260001	26260000	gray
Renan	26260001	27260000	white
Renan	27260001	28300000	white
Renan	28300001	29400000	white
Renan	29400001	30400000	black
Renan	30400001	31400000	black
Renan	31400001	32500000	gray
Renan	32500001	33920000	gray
Renan	33920001	34980000	gray
Renan	34980001	35980000	gray
Renan	35980001	36980000	gray
Renan	36980001	38000000	gray
Renan	38000001	39000000	gray
Renan	39000001	40020000	white
Renan	40020001	41020000	white
Renan	41020001	42020000	white
Renan	42020001	43020000	white
Renan	43020001	44020000	gray
Renan	44020001	45040000	gray
Renan	45040001	46040000	gray
Renan	46040001	47040000	gray
Renan	47040001	48040000	gray
Renan	48040001	49080000	gray
Renan	49080001	50080000	gray
Renan	50080001	51140000	gray
Renan	51140001	52140000	gray
Renan	52140001	53140000	gray
Renan	53140001	54260000	gray
Renan	54260001	55260000	gray
Renan	55260001	56260000	gray
Renan	56260001	57280000	gray
Renan	57280001	58340000	gray
Renan	58340001	59340000	gray
Renan	59340001	60340000	gray
Renan	60340001	61340000	gray
Renan	61340001	62500000	gray
Renan	62500001	63560000	gray
Renan	63560001	64560000	gray
Renan	64560001	65560000	gray
Renan	65560001	66600000	gray
Renan	66600001	67600000	gray
Renan	67600001	68600000	gray
Renan	68600001	69620000	gray
Renan	69620001	70680000	gray
Renan	70680001	71680000	black
Renan	71680001	72680000	gray
Renan	72680001	73680000	white
Renan	73680001	74680000	white
Renan	74680001	75680000	chartreuse
Renan	75680001	76680000	chartreuse
Renan	76680001	77680000	chartreuse
Renan	77680001	78680000	chartreuse
Renan	78680001	79680000	chartreuse
Renan	79680001	80680000	black
Renan	80680001	81680000	white
Renan	81680001	82700000	white
Renan	82700001	83700000	white
Renan	83700001	84700000	white
Renan	84700001	85700000	white
Renan	85700001	86700000	white
Renan	86700001	87740000	white
Renan	87740001	88740000	white
Renan	88740001	89740000	white
Renan	89740001	90820000	black
Renan	90820001	91840000	white
Renan	91840001	92840000	white
Renan	92840001	93900000	white
Renan	93900001	94920000	white
Renan	94920001	95920000	white
Renan	95920001	96960000	gray
Renan	96960001	97980000	gray
Renan	97980001	98980000	gray
Renan	98980001	99980000	gray
Renan	99980001	100980000	gray
Renan	100980001	102000000	gray
Renan	102000001	103000000	gray
Renan	103000001	104000000	gray
Renan	104000001	105000000	gray
Renan	105000001	106220000	gray
Renan	106220001	107220000	gray
Renan	107220001	108240000	gray
Renan	108240001	109260000	gray
Renan	109260001	110260000	gray
Renan	110260001	111260000	gray
Renan	111260001	112280000	gray
Renan	112280001	113320000	gray
Renan	113320001	114320000	gray
Renan	114320001	115320000	gray
Renan	115320001	116380000	gray
Renan	116380001	117420000	gray
Renan	117420001	118420000	gray
Renan	118420001	119440000	gray
Renan	119440001	120480000	gray
Renan	120480001	121480000	gray
Renan	121480001	122480000	gray
Renan	122480001	123540000	gray
Renan	123540001	124540000	gray
Renan	124540001	125540000	gray
Renan	125540001	126700000	gray
Renan	126700001	127700000	gray
Renan	127700001	128700000	gray
Renan	128700001	129700000	gray
Renan	129700001	130720000	gray
Renan	130720001	131760000	gray
Renan	131760001	132780000	gray
Renan	132780001	133860000	gray
Renan	133860001	134920000	gray
Renan	134920001	136000000	gray
Renan	136000001	137000000	gray
Renan	137000001	138000000	gray
Renan	138000001	139000000	gray
Renan	139000001	140060000	gray
Renan	140060001	141060000	gray
Renan	141060001	142080000	gray
Renan	142080001	143100000	gray
Renan	143100001	144280000	gray
Renan	144280001	145380000	gray
Renan	145380001	146400000	gray
Renan	146400001	147420000	gray
Renan	147420001	148420000	gray
Renan	148420001	149420000	gray
Renan	149420001	150420000	gray
Renan	150420001	151440000	gray
Renan	151440001	152440000	gray
Renan	152440001	153460000	gray
Renan	153460001	154460000	gray
Renan	154460001	155520000	gray
Renan	155520001	156520000	gray
Renan	156520001	157520000	gray
Renan	157520001	158620000	gray
Renan	158620001	159660000	gray
Renan	159660001	160680000	gray
Renan	160680001	161680000	gray
Renan	161680001	162740000	gray
Renan	162740001	163820000	gray
Renan	163820001	164820000	gray
Renan	164820001	165820000	gray
